Segment,Segment Name,Time Period,date_end,Date End,FY,Date Month,Avg Paid Invoice Amt,Avg SR Amt,Avg. Intuit Paid Inv Amt,Avg. Intut Paid SR Amt,Eco Invoice Actives 31D,Intuit Paid Inv per Active,Intuit Paid SR per Active,cc_actives_31d,active_cohorted_churn,passive_cohorted_churn,hvc_cohorted_churn,non_hvc_cohorted_churn,active_cohorted_churn_py,passive_cohorted_churn_py,hvc_cohorted_churn_py,non_hvc_cohorted_churn_py,qbo_active_cohorted_churn,qbo_active_cohorted_churn_py,pymt_active_cohorted_churn,pymt_active_cohorted_churn_py,Eco TPV 31d Absolute,CC TPV 31d Absolute,ACH TPV 31d Absolute,Eco Actives 31d Absolute,Eco Txns 31d Absolute,CC Txns 31d Absolute,ACH Txns 31d Absolute,Eco Invoice Amount 31d Absolute,Eco Sales Receipt Amount 31d Absolute,Eco Recurring Invoice Amount 31d Absolute,Eco CP Recurring Invoice Amount 31d Absolute,Eco Non-Recurring Invoice Amount 31d Absolute,Eco CP Amount 31d Absolute,Eco Non-CP Amount 31d Absolute,Eco Invoice Txns 31d Absolute,Eco Sales Receipt Txns 31d Absolute,Eco Recurring Invoice Txns 31d Absolute,Eco CP Recurring Invoice Txns 31d Absolute,Eco Non-Recurring Invoice Txns 31d Absolute,Eco CP Txns 31d Absolute,Eco Non-CP Txns 31d Absolute,31d Active Repeat Absolute,31d Active Lapse Absolute,31d Active Resurrect Absolute,31d Active GNA Absolute,31d Repeat CV Absolute,31d Lapse CV Absolute,31d Resurrect CV Absolute,31d GNA CV Absolute,31d Repeat Txn Absolute,31d Lapse Txn Absolute,31d Resurrect Txn Absolute,31d GNA Txn Absolute
100% Web TPV,Digital Platform Distribution,Week,2023-09-09,2023-09-09,FY24,9,1788.614941,315.413347,1415.087287,null,464604,12.23316893,0,281328,1,1,1,1,null,null,null,null,1,null,1,null,8124455099,3275780957,3317608073,305116,5515021,2534859,971014,4853932994,0,279400630,230480791.3,7484960967,6051307610,1184341029,3846938,0,405242,240128,4880841,3487665,1130120,228309,0,44748,12708,5185763633,0,249216860,106233369,3683680,0,83460,37396
70% to <100% Mobile TPV,Digital Platform Distribution,Week,2023-09-09,2023-09-09,FY24,9,942.740714,359.810677,736.4170217,246.4562199,11325,20.33283273,0.5590489579,7205,1,1,1,1,null,null,null,null,1,null,1,null,173444841.1,104264876.5,45450697.59,7829,227348,132761,21355,103621261.9,1508745.84,474657.84,462484.3,170328021.2,124962668.2,29200666.02,159396,4609,2598,1875,205311,139018,43226,6304,0,381,222,113151726,0,3012871,1565648,153601,0,1246,1410
Cross-Platform Blended,Digital Platform Distribution,Week,2023-09-09,2023-09-09,FY24,9,1123.332118,193.342607,911.2106268,183.3860231,15629,16.26751273,0.3480139171,10347,1,1,1,1,null,null,null,null,1,null,1,null,236955042.1,134516026.7,69468905.2,10461,267982,145757,27964,140441524.1,906295.21,3040355.64,2695377.89,223776461.8,179426470.1,27985853.76,184973,3653,15557,10823,226674,172440,43957,8756,0,689,262,153439424,0,4370946,1732458,175208,0,2155,1438
70% to <100% Web TPV,Digital Platform Distribution,Week,2023-09-09,2023-09-09,FY24,9,957.1194322,275.251056,759.7054431,263.9161214,48752,38.07368391,4.694849251,30956,1,1,1,1,null,null,null,null,1,null,1,null,1446673305,758179565.2,484471265.9,31425,2009231,1055324,247582,866012398.9,58280393.77,60860676.8,49801858.26,1253364533,928762020.4,393514559.1,1235509,157677,188694,115418,1489123,996907,649630,28147,0,783,723,961847661,0,7206315,12494291,1370004,0,4473,9876
Unclassified,Digital Platform Distribution,Week,2023-09-09,2023-09-09,FY24,9,1069.552471,408.023898,576.0732432,399.9454605,21871,15.18185953,40.13357518,30529,1,1,1,1,null,null,null,null,1,null,1,null,922074722.9,569385427.4,232695918.5,33789,2088220,1165431,235621,115196737.9,739694342.1,16714731.61,14127984.17,167974721.3,217571982.7,734611694.2,225051,1346975,54684,34710,245251,229264,1533033,27488,0,2547,1129,613403483,79,11479112,8429801,1428025,57,12807,9433
Other Mixed,Managed Pay Subscribers,Month,2023-09-30,2023-09-30,FY24,9,1547.132271,343.451532,1189.372338,382.2352271,646776,14.28566915,3.45111488,415810,1,1,1,1,null,null,null,null,1,null,1,null,11414151448,5113091563,4532817711,443104,10835565,5506697,1655574,6639431236,833171854.5,373878724,332450356.4,9849964836,8016004145,2378629201,6363419,1622917,689331,444744,7579511,5605638,3473737,329055,0,55430,17294,7567737164,79,318792971,135013804,7181330,53,121409,65202
Cross-Platform Blended,Digital Platform Distribution,Month,2023-09-30,2023-09-30,FY24,9,1223.316874,244.040093,934.8078974,179.3358133,16217,16.49764322,0.3524895757,10211,1,1,1,1,null,null,null,null,1,null,1,null,228014188.6,132542104.7,69001998.66,10737,247313,138104,27329,141996798.8,1050891.79,2869729.84,2796059.98,215786872.2,181252348.3,27765563.63,174519,4858,13863,10276,226936,165930,40171,9153,0,699,272,151411861,0,5016079,1944595,175510,0,2218,1356
70% to <100% Mobile TPV,Digital Platform Distribution,Month,2023-09-30,2023-09-30,FY24,9,940.3943171,262.481506,740.7265279,224.1379313,11506,20.34527674,0.56228014,7165,1,1,1,1,null,null,null,null,1,null,1,null,175377387.4,102746815.2,44683869.14,7717,236191,137326,21064,101752331.9,1336506.8,540232.31,518095,162625663.9,124585775.9,26504977.21,162246,4292,2827,2123,219946,147591,45971,6344,0,367,211,111798507,0,2566138,1567681,161440,0,1328,1501
100% Web TPV,Digital Platform Distribution,Month,2023-09-30,2023-09-30,FY24,9,1839.909634,314.881109,1415.400875,null,467186,12.45308359,0,287765,1,1,1,1,null,null,null,null,1,null,1,null,8381968624,3398342001,3488320215,314765,5795538,2715213,1016812,4888843262,0,285326278.8,252136372.3,7792286007,6296168092,1133980285,4011401,0,432862,275144,4940368,3609885,1064447,232510,0,46187,12755,5375303824,0,267750109,108448369,3906873,0,87628,38443
70% to <100% Web TPV,Digital Platform Distribution,Month,2023-09-30,2023-09-30,FY24,9,998.164124,242.437962,783.8035619,274.9232269,47472,38.05732826,5.003177544,31340,1,1,1,1,null,null,null,null,1,null,1,null,1506805371,811957430.6,500476635.8,31608,2085840,1076343,251324,863141569.3,61240920.47,63721123.88,54797316.31,1296264607,952589914.5,405592750.7,1298799,161674,205672,127687,1533649,1019455,646983,27115,0,939,754,1027098780,0,8341105,10042689,1402057,0,4766,7944
Unclassified,Digital Platform Distribution,Month,2023-09-30,2023-09-30,FY24,9,1090.844792,355.596402,580.7905582,383.5341686,21953,15.31521649,40.53626549,31528,1,1,1,1,null,null,null,null,1,null,1,null,947881011.5,578491958.7,252842228.7,32466,2159046,1162696,253035,116444123.8,777191909.7,18226615.22,15948984.39,167871470.7,229986133.8,742253325.3,234824,1431974,57188,39602,262127,242485,1566483,26802,0,2749,1103,611185008,76,12879420,7142266,1431182,55,17144,12187
100% Mobile TPV,Digital Platform Distribution,Month,2023-09-30,2023-09-30,FY24,9,1142.069107,289.603333,807.6365862,null,64193,8.1617706,0,40142,1,1,1,1,null,null,null,null,1,null,1,null,428313958.7,254608320,116130228.3,43073,503950,276432,49330,247191393.3,0,5763,6030,405734882,332510895,35579170.62,355344,0,5,3,463249,345977,47235,30388,0,7252,1880,249312803,0,25024949,8209196,323855,0,11096,4214
New (0-12 months),New Acquisition Cohort,Week,2023-09-30,2023-09-30,FY24,9,1757.018518,329.092803,1230.391451,384.4341826,171408,8.701357632,1.646286569,110545,1,1,1,1,null,null,null,null,1,null,1,null,1884659622,964429168,667874182.2,119465,1645420,906038,197967,1138408782,110582854.8,40819176.78,39302006.31,1707647096,1443277502,305255071.1,1005438,193811,74060,52168,1285542,957312,446955,76154,0,15579,17395,1117707526,33,84708830,131568170,1091077,29,30940,67367
Established (24+ months),New Acquisition Cohort,Week,2023-09-30,2023-09-30,FY24,9,1552.501007,285.817779,1181.631337,356.658213,347080,17.72859882,4.709659634,219314,1,1,1,1,null,null,null,null,1,null,1,null,7553609196,3262644686,2958049615,240094,7448733,3685520,1181270,4351677736,598308064.4,270681362.2,237832767.7,6624226525,5013230350,1748381657,4263326,1182948,538221,350127,4950360,3607529,2536860,193737,0,27872,0,5177759157,18,160089429,0,5147933,12,62646,0
Growing (12-24 months),New Acquisition Cohort,Week,2023-09-30,2023-09-30,FY24,9,1694.085799,273.48235,1216.404805,417.0250614,119006,12.35117948,2.410865741,75405,1,1,1,1,null,null,null,null,1,null,1,null,1902758953,847628587.2,729123941.9,81898,1671136,847951,226255,1102346762,112600417.5,49406467.9,47837896.02,1623822352,1405797974,307008767.3,974200,206181,91864,61164,1263011,939005,442097,62522,0,12669,0,1247348368,24,71732086,0,1156018,12,27088,0
Unclassified,New Acquisition Cohort,Week,2023-09-30,2023-09-30,FY24,9,2139.695363,417.939802,1755.815387,556.4362476,3721,11.34774223,3.5413128,2491,1,1,1,1,null,null,null,null,1,null,null,null,86789440.07,42712325.98,29977780.73,2593,57395,31910,5580,45570309.55,7493753.4,822183.89,711593.74,70235654.97,60068958.52,16086304.63,29575,9335,2006,1108,38717,26982,17514,1980,0,0,0,53893929,1,0,0,37820,1,0,0
Batch Auto-Entry,Managed Pay & Batch Processing,Week,2023-10-07,2023-10-07,FY24,10,5903.7604,334.572905,null,null,0,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Mixed,Managed Pay & Batch Processing,Week,2023-10-07,2023-10-07,FY24,10,1380.858319,330.946555,1188.220442,369.5936818,641632,14.93425743,3.635989161,409778,1,1,1,1,null,null,null,null,1,null,1,null,12072382740,5216183801,4609478102,444215,10824071,5523959,1627979,6611938775,825927705.4,380901275.1,334151187.9,10396970891,8155701464,2355977615,6477060,1607850,746151,493273,7694261,5854127,3390059,323437,0,62094,18026,7745989033,75,353493142,141563166,7380289,49,130419,68493
Bank & Card Blended,Bank Transfer & Card Distribution,Week,2023-10-14,2023-10-14,FY24,10,1740.614189,330.951712,1295.058532,450.0153151,66205,19.43712318,3.985728188,41366,1,1,1,1,null,null,null,null,1,null,1,null,1666755171,809109354.3,643450859.7,43511,1463113,625180,310127,953524695.8,110734097.4,66197723.54,60250676,1478061040,1216045467,310407051.8,873756,175015,117432,75811,1040065,818661,394014,37666,0,2195,630,1147392908,2,19347196,9108147,981446,2,7749,4013
ACH between 70% to <100%,Bank Transfer & Card Distribution,Week,2023-10-14,2023-10-14,FY24,10,2819.349588,397.678664,2037.81821,627.5318375,55552,21.479165,4.378629537,36698,1,1,1,1,null,null,null,null,1,null,1,null,2662038303,265116158.8,1713768308,38684,1331507,200146,577202,1537291229,142193748.9,78585837.19,68578003.66,2239317407,1930751032,335283179.9,803155,169129,105224,68360,966515,764439,348122,33391,0,1760,480,1704334605,0,26435280,10767814,926169,0,6365,2795
CC between 70% to <100%,Bank Transfer & Card Distribution,Week,2023-10-14,2023-10-14,FY24,10,883.5077429,241.640625,628.6541229,314.2528937,96762,38.94889904,7.001765049,63506,1,1,1,1,null,null,null,null,1,null,1,null,2688461763,2207256436,238650968.1,67665,4355751,2651227,243179,1475286396,200280352.6,103131147.9,83146684.85,2187212259,1701918632,752879998.3,2571203,452809,349049,246441,3090027,2363371,1252077,59772,0,1522,684,1805324427,0,15920211,11251361,2918657,0,10361,12534
CC 100%,Bank Transfer & Card Distribution,Week,2023-10-14,2023-10-14,FY24,10,1198.882534,237.012322,871.9863431,283.2894199,288892,7.658548693,3.476960667,188358,1,1,1,1,null,null,null,null,1,null,1,null,2239667217,2048194509,0,208274,3151053,2086326,0,1149610555,280805292.4,30156827.1,23999061.31,1839038247,1268613075,780079821.5,1476643,729408,70231,39768,1908016,1210663,1395049,138698,0,38831,11973,1349612965,56,131615500,69005409,1972083,53,73726,40045
Non-MAIP & Mixed ACH 100%,Bank Transfer & Card Distribution,Week,2023-10-14,2023-10-14,FY24,10,4076.949941,553.541163,3001.554089,967.8755323,129297,6.469058516,0.8297244195,86662,1,1,1,1,null,null,null,null,1,null,1,null,2654721598,0,2038786410,90001,894655,0,501790,1567324629,98278880.2,105948921.9,108381562.2,2398740423,2133103459,157505043.7,576049,72124,87365,65395,696195,605516,135486,65674,0,15427,3567,1652472981,6,143604610,45225213,595373,6,26731,7285
Unclassified,Bank Transfer & Card Distribution,Week,2023-10-14,2023-10-14,FY24,10,2834.237313,368.867499,null,null,0,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New (0-12 months),New Acquisition Cohort,Week,2023-10-14,2023-10-14,FY24,10,1680.404475,317.72824,1272.723277,407.3057196,168054,9.002213792,1.66419521,113650,1,1,1,1,null,null,null,null,1,null,1,null,2000318185,993891174.9,680380450.1,114206,1720646,942259,197971,1148273088,110770098.4,44319584.01,40888730.04,1766358757,1395994419,314332708,1024436,195928,77722,53776,1269781,991686,443660,78145,0,16600,17226,1169403000,24,86184408,145663801,1110379,21,32053,67264
Established (24+ months),New Acquisition Cohort,Week,2023-10-14,2023-10-14,FY24,10,1613.21732,297.444048,1181.491351,365.9971827,353798,18.5392659,4.900193498,231093,1,1,1,1,null,null,null,null,1,null,1,null,7886320151,3388539367,3054790657,241855,7528423,3743492,1205520,4463547716,604170649.2,280201027.8,258346139.4,6590984051,5503540968,1704469572,4410266,1226386,548055,370220,5174073,3814410,2590735,198164,0,28838,0,5231096892,21,173103697,0,5102968,16,63914,0
Growing (12-24 months),New Acquisition Cohort,Week,2023-10-14,2023-10-14,FY24,10,1649.230022,312.194899,1239.039508,398.24961,123138,12.52680751,2.439805495,78277,1,1,1,1,null,null,null,null,1,null,1,null,1950151494,867603716.5,760822525.3,81653,1681673,877421,239897,1104927364,112302723.4,51942978.58,48301427.82,1745512185,1412798708,318512128.6,1014729,197121,94355,67084,1266047,948908,434227,64142,0,13882,0,1286069288,20,76471972,0,1167741,24,28060,0
Unclassified,New Acquisition Cohort,Week,2023-10-14,2023-10-14,FY24,10,2085.881607,417.86397,1682.887973,585.5102582,3693,11.79996342,3.496108035,2561,1,1,1,1,null,null,null,null,1,null,null,null,85380691.39,42062487.7,29874587.7,2726,54900,32347,5789,45650776.85,7694403.14,849090.99,778666.7,72490586.86,58993157.4,15078052.44,30911,9432,2111,1174,37642,27079,17339,1950,0,0,0,53275341,0,0,0,36812,0,0,0
Bank & Card Blended,Bank Transfer & Card Distribution,Week,2023-10-28,2023-10-28,FY24,10,1801.02805,312.68962,1273.378811,451.3695355,66529,19.83083765,3.794603137,41523,1,1,1,1,null,null,null,null,1,null,1,null,1730342689,816692451,639798938.9,44836,1505078,608015,304146,978926379,111895089.5,71120428.11,61488896.59,1447647734,1209011467,325364193.1,888446,173852,124821,75319,1086603,821566,400560,37019,0,2142,657,1139395569,0,18580704,9403817,1004866,0,7697,4289
ACH between 70% to <100%,Bank Transfer & Card Distribution,Week,2023-10-28,2023-10-28,FY24,10,3117.582242,431.106055,2035.931101,621.5956921,57991,20.79592361,4.178784485,36426,1,1,1,1,null,null,null,null,1,null,1,null,2692941493,259476682.4,1728650901,39450,1360354,209969,599091,1515797941,144440484.6,79001150.38,67696705.3,2363881064,1972543548,356078464.9,805119,165441,111068,69599,1012744,781008,359215,33770,0,1752,460,1804628226,0,27982028,10921772,941652,0,6328,2745
CC between 70% to <100%,Bank Transfer & Card Distribution,Week,2023-10-28,2023-10-28,FY24,10,862.6300677,301.316346,619.3399083,307.579972,100905,38.6780363,7.000533988,63707,1,1,1,1,null,null,null,null,1,null,1,null,2687670459,2151513552,235488577.8,66992,4215193,2603681,240970,1487278633,197188496.3,105958009.7,85331352.7,2212767764,1675535906,738444958.8,2705698,473867,362310,239030,3238833,2332218,1263028,57999,0,1585,678,1800042578,0,16409219,13718587,3050237,0,10438,12583
CC 100%,Bank Transfer & Card Distribution,Week,2023-10-28,2023-10-28,FY24,10,1187.177065,250.880121,898.1237222,289.8112533,291847,7.719535533,3.520068855,192500,1,1,1,1,null,null,null,null,1,null,1,null,2123705776,2110041890,0,198833,2953667,2053851,0,1133568235,287458717.8,30357664,23383577.28,1838351943,1267848343,805050965,1446649,706364,67298,37846,1955485,1174256,1347707,138678,0,39085,11844,1307068891,105,128950075,65353212,2019347,66,71227,37846
Non-MAIP & Mixed ACH 100%,Bank Transfer & Card Distribution,Week,2023-10-28,2023-10-28,FY24,10,4464.485466,532.156349,3162.826075,938.313636,129373,6.492254426,0.8225140429,84462,1,1,1,1,null,null,null,null,1,null,1,null,2713361814,0,2086906472,92510,946302,0,523712,1580256940,97881909.87,108348255.1,105563510.9,2400375876,2156866842,173704381.3,571087,75246,91562,63914,679338,617375,139565,64872,0,15918,3537,1708653875,17,142342807,43545707,590663,15,25159,7191
Unclassified,Bank Transfer & Card Distribution,Week,2023-10-28,2023-10-28,FY24,10,3061.995798,413.533102,null,null,0,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100% Mobile TPV,Digital Platform Distribution,Week,2023-11-04,2023-11-04,FY24,11,1089.654193,131.480424,839.1354312,null,61927,8.216101932,0,39054,1,1,1,1,null,null,null,null,1,null,1,null,429220115.1,253432855.9,112995585.3,42925,470394,276144,49045,252444368.5,0,5126.74,779,411728672.3,336736257.3,36094735.43,327960,0,8,2,469551,338925,48117,30247,0,7295,1929,259809975,0,25059818,8532381,308919,0,11627,4356
100% Web TPV,Digital Platform Distribution,Week,2023-11-04,2023-11-04,FY24,11,1655.440404,354.694634,1427.500772,null,486344,12.9255016,0,303849,1,1,1,1,null,null,null,null,1,null,1,null,8616954293,3331350567,3572369107,314701,5747498,2651607,1042013,5259424246,0,308243557.9,250610056.9,7951942748,6144003517,1202104012,4158084,0,451819,269221,5020075,3636944,1129884,242465,0,47914,12629,5352105447,0,280988133,104080291,3957468,0,86603,35486
70% to <100% Mobile TPV,Digital Platform Distribution,Week,2023-11-04,2023-11-04,FY24,11,874.2204024,295.500198,719.187082,197.4628773,11662,20.99798606,0.5919342308,7350,1,1,1,1,null,null,null,null,1,null,1,null,176374056,102705005.8,46332551.18,7534,239507,137569,20999,102897877.2,1188163.26,608536.48,532457.09,162196874,128993033.9,24905117.45,163934,4382,2984,2075,217638,146080,45026,6565,0,430,213,116629837,0,3229163,1835326,158824,0,1519,1351
Cross-Platform Blended,Digital Platform Distribution,Week,2023-11-04,2023-11-04,FY24,11,1100.521699,194.759695,869.5892476,212.074922,15791,16.60467952,0.2702387936,10333,1,1,1,1,null,null,null,null,1,null,1,null,246762581.4,132104056.3,74540321.8,10916,263804,144477,29629,142951454.1,889924.28,3318660.09,3052663,222556120.1,177152679.3,27861667.27,180010,3350,16235,11295,234051,170640,41313,8829,0,748,245,154439468,0,4587081,2537574,181950,0,2509,1460
70% to <100% Web TPV,Digital Platform Distribution,Week,2023-11-04,2023-11-04,FY24,11,894.5568969,232.493297,748.109988,277.2220429,49658,39.07951675,5.094890981,30531,1,1,1,1,null,null,null,null,1,null,1,null,1582245757,837506538.5,495090282.2,32837,2109181,1095013,257470,885580487.4,64758712.1,72354113.86,59434986.58,1312394016,1024672646,424536758.2,1346538,167865,221068,136736,1592559,1060632,698290,28586,0,903,707,1021459629,0,8683909,10777109,1439193,0,4525,8352
Unclassified,Digital Platform Distribution,Week,2023-11-04,2023-11-04,FY24,11,1041.678961,335.470985,580.8253094,392.4848549,22516,16.00174826,40.92125396,30681,1,1,1,1,null,null,null,null,1,null,1,null,913605056.9,555777520.7,248625722.5,33328,2168456,1134690,242545,117032429.1,756613116.6,17462028.7,15555374.75,161636246.2,234090482.2,699436801,238316,1438321,54450,38511,256575,233358,1577920,26249,0,2704,1120,626642850,99,13157134,8137243,1432529,74,13041,9226
All Segments,Aggregate,Week,2023-11-18,2023-11-18,FY24,11,1680.273598,321.949001,1214.213042,386.8714644,637317,14.53565201,3.465961741,412625,1,1,1,1,null,null,null,null,1,null,1,null,11713883245,5217364301,4728502046,446041,11062020,5534379,1620449,6829317187,839893863.2,398271979.3,331251235.6,9939341308,8336123065,2358790116,6385441,1564974,772635,455784,7809625,5410160,3408619,347212,0,59584,16808,7779733614,108,334047855,132600129,7531064,68,117656,64329
Batch Auto-Entry,Managed Pay & Batch Processing,Week,2023-12-02,2023-12-02,FY24,12,1156,394.605888,null,null,0,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Mixed,Managed Pay & Batch Processing,Week,2023-12-02,2023-12-02,FY24,12,1489.417174,299.635157,1184.954555,362.5402612,634332,13.67506136,3.474365686,407838,1,1,1,1,1,1,1,1,1,1,1,1,11071054283,4949126952,4369114879,436974,10505259,5362618,1557537,6417553760,806938110.3,398026208,337946889.2,9735005389,7562758656,2291353361,6006327,1488927,734817,446346,7315250,5254347,3440052,338722,0,56477,15227,7290355842,68,295812853,125512561,7273125,55,107734,56787
100% SR TPV,Billing & Receipt Channel Mix,Week,2023-12-09,2023-12-09,FY24,12,12080.44058,371.377675,null,512.1081235,0,null,24.113667,17293,1,1,1,1,1,1,1,1,1,1,1,1,305146708.2,185667250.8,82634284.72,18446,572062,316857,57719,0,306910529.8,0,0,0,81728942.43,236150613.5,0,443336,0,0,0,43506,457505,13627,0,2227,713,195589026,0,9255449,4462966,378111,0,8214,2888
